"id","year","estimate","value"
"IQ",1984,FALSE,
"IS",1984,FALSE,8.944e+10
"IL",1984,FALSE,8.293e+09
"IT",1984,FALSE,
"JM",1984,FALSE,
"JO",1984,FALSE,
"JP",1984,FALSE,3.0749871e+14
"KZ",1984,FALSE,
"KE",1984,FALSE,1.43593e+11
"KG",1984,FALSE,
"KH",1984,FALSE,
"KI",1984,FALSE,
"KN",1984,FALSE,2.45e+08
"KP",1984,FALSE,8.05846e+13
"KW",1984,FALSE,
"LA",1984,FALSE,
"LB",1984,FALSE,
"LR",1984,FALSE,
"LY",1984,FALSE,
"LC",1984,FALSE,6.08e+08
"LK",1984,FALSE,1.59009e+11
"LS",1984,FALSE,4.94e+08
"LT",1984,FALSE,
"LU",1984,FALSE,
"LV",1984,FALSE,
"MA",1984,FALSE,
"MD",1984,FALSE,
"MG",1984,FALSE,3.39e+11
"MV",1984,FALSE,
"MX",1984,FALSE,
"MH",1984,FALSE,
"MK",1984,FALSE,
"ML",1984,FALSE,
"MT",1984,FALSE,1.253e+09
"MM",1984,FALSE,
"ME",1984,FALSE,
"MN",1984,FALSE,1.0752e+10
"MZ",1984,FALSE,1.45e+08
"MR",1984,FALSE,
"MU",1984,FALSE,
"MW",1984,FALSE,
"MY",1984,FALSE,7.9803e+10
"NA",1984,FALSE,
"NE",1984,FALSE,
"NG",1984,FALSE,
"NI",1984,FALSE,
"NL",1984,FALSE,2.02133e+11
"NO",1984,FALSE,4.98657e+11
"NP",1984,FALSE,
"NZ",1984,FALSE,
"OM",1984,FALSE,
"PK",1984,FALSE,
"PA",1984,FALSE,
"PE",1984,FALSE,
"PH",1984,FALSE,5.811e+11
"PW",1984,FALSE,
"PG",1984,FALSE,
"PL",1984,FALSE,
"PT",1984,FALSE,
"PY",1984,FALSE,
"QA",1984,FALSE,
"RO",1984,FALSE,
"RU",1984,FALSE,
"RW",1984,FALSE,
"SA",1984,FALSE,
"SD",1984,FALSE,
"SN",1984,FALSE,
"SG",1984,FALSE,
"SB",1984,FALSE,
"SL",1984,FALSE,
"SV",1984,FALSE,
"SM",1984,FALSE,
"RS",1984,FALSE,
"SS",1984,FALSE,
"ST",1984,FALSE,
"SR",1984,FALSE,
"SK",1984,FALSE,
"SI",1984,FALSE,
"SE",1984,FALSE,8.34518e+11
"SZ",1984,FALSE,1.298e+09
"SC",1984,FALSE,1.068e+09
"SY",1984,FALSE,
"TD",1984,FALSE,
"TG",1984,FALSE,
"TH",1984,FALSE,
"TJ",1984,FALSE,
"TM",1984,FALSE,
"TL",1984,FALSE,
"TO",1984,FALSE,
"TT",1984,FALSE,
"TN",1984,FALSE,
"TR",1984,FALSE,3e+07
"TV",1984,FALSE,
"TW",1984,FALSE,2.414377e+12
"TZ",1984,FALSE,
"UG",1984,FALSE,
"UA",1984,FALSE,
"UY",1984,FALSE,
"US",1984,FALSE,4.0407e+12
"XK",1984,FALSE,
"UZ",1984,FALSE,
"VC",1984,FALSE,3.27e+08
"VE",1984,FALSE,4.06e+08
"VN",1984,FALSE,4.9639e+10
"VU",1984,FALSE,1.4337e+10
"AS",1984,FALSE,
"YE",1984,FALSE,
"ZA",1984,FALSE,
