"id","population-0-14.2000","population-15-64.2000","population-65-.2000","population-0-14.2001","population-15-64.2001","population-65-.2001","population-0-14.2002","population-15-64.2002","population-65-.2002","population-0-14.2003","population-15-64.2003","population-65-.2003","population-0-14.2004","population-15-64.2004","population-65-.2004","population-0-14.2005","population-15-64.2005","population-65-.2005","population-0-14.2006","population-15-64.2006","population-65-.2006","population-0-14.2007","population-15-64.2007","population-65-.2007","population-0-14.2008","population-15-64.2008","population-65-.2008","population-0-14.2009","population-15-64.2009","population-65-.2009","population-0-14.2010","population-15-64.2010","population-65-.2010","population-0-14.2011","population-15-64.2011","population-65-.2011","population-0-14.2012","population-15-64.2012","population-65-.2012","population-0-14.2013","population-15-64.2013","population-65-.2013"
"GN",3850544,4595363,300221,3911445,4681829,302077,3971718,4770524,303506,4034256,4865286,305039,4102091,4970221,307310,4177322,5088241,310768,4261647,5221531,315785,4354828,5369853,322283,4454459,5530476,329743,4556818,5699072,337359,4659075,5872365,344593,4760533,6049791,351205,4861699,6232053,357521,4969782,6410051,365356
"GM",563861,631651,33351,580808,651936,33946,599336,672859,34469,619138,694405,35005,639720,716566,35649,660716,739358,36475,682036,762751,37538,703795,786812,38799,726069,811776,40135,749000,837952,41381,772674,865551,42415,797088,894688,43193,822146,925307,43774,849270,955749,44266
"GW",554474,679400,39438,564853,697075,39822,575760,714927,40160,587004,733043,40511,598268,751555,40970,609344,770579,41592,620144,790073,42441,630795,810038,43506,641561,830678,44682,652826,852255,45824,664842,874929,46853,677702,898871,47655,691276,923973,48309,706540,948637,49078
"GQ",220797,278364,19018,226256,289164,19168,231150,300952,19299,235714,313426,19413,240282,326188,19512,245102,338941,19605,250259,351554,19706,255725,364072,19822,261490,376580,19955,267503,389250,20097,273724,402190,20253,280153,415415,20427,286803,428848,20643,294318,441657,21039
"GR",1658437,7419798,1839247,1638645,7428075,1885047,1621250,7429291,1933182,1607702,7429461,1981159,1599055,7432355,2024316,1595513,7438525,2058874,1597099,7448144,2082702,1603498,7461667,2097835,1611600,7468478,2106362,1617785,7456943,2112357,1618816,7416590,2118048,1619427,7371731,2132052,1619139,7321354,2152279,1616260,7246180,2169888
"GD",35599,58127,7894,34710,59248,7887,33722,60481,7897,32703,61759,7905,31749,63001,7904,30926,64143,7882,30261,65159,7837,29744,66068,7775,29352,66870,7707,29047,67605,7641,28797,68295,7585,28592,68938,7543,28442,69526,7515,28377,69983,7537
"GL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GT",4936937,5813831,453415,5040051,5967426,471506,5147790,6128109,489837,5257758,6296885,508191,5366578,6474917,526306,5471846,6663035,544038,5572530,6861614,561228,5669377,7070487,578069,5763922,7289177,595206,5858544,7516913,613532,5954890,7753016,633670,6053438,7997284,655856,6153389,8249571,679870,6253590,8510071,704542
"GU",47354,99658,8316,47457,100285,8678,47457,100715,9067,47349,101012,9462,47110,101252,9829,46739,101506,10156,46226,101775,10428,45597,102073,10662,44930,102482,10901,44324,103103,11192,43850,104006,11584,43541,105230,12088,43380,106739,12693,43322,108453,13349
"GY",263176,447902,33393,265904,449209,32543,268642,450318,31671,271519,451312,30780,274730,452338,29870,278357,453524,28953,282484,454863,28026,286886,456403,27118,290972,458438,26327,293951,461325,25780,295256,465313,25557,294713,470457,25711,292492,476662,26215,288513,483695,27405
