id-from,id-to,flow,year,value
FR,south-of-sahara,remittances-regions,2015,1572310159.4508
GB,europe,fdi-regions-new,2015,0
GB,europe,oda-regions,2015,86060000
GB,europe,oofs-regions,2015,
GB,europe,remittances-regions,2015,113453480.642624
GB,far-east-asia,fdi-regions-new,2015,0
GB,far-east-asia,oda-regions,2015,155940000
GB,far-east-asia,oofs-regions,2015,
GB,far-east-asia,remittances-regions,2015,1968225414.73705
GB,middle-east,fdi-regions-new,2015,0
GB,middle-east,oda-regions,2015,959140000
GB,middle-east,oofs-regions,2015,
GB,middle-east,remittances-regions,2015,323647953.434592
GB,north-central-america,fdi-regions-new,2015,139037433.15508
GB,north-central-america,oda-regions,2015,124110000
GB,north-central-america,oofs-regions,2015,
GB,north-central-america,remittances-regions,2015,330840292.674212
GB,north-of-sahara,fdi-regions-new,2015,867838044.30863
GB,north-of-sahara,oda-regions,2015,54040000
GB,north-of-sahara,oofs-regions,2015,
GB,north-of-sahara,remittances-regions,2015,264219434.192369
GB,oceania,fdi-regions-new,2015,27501909.854851
GB,oceania,oda-regions,2015,12670000
GB,oceania,oofs-regions,2015,
GB,oceania,remittances-regions,2015,6869404.42565157
GB,south-america,fdi-regions-new,2015,1197860962.56683
GB,south-america,oda-regions,2015,119880000
GB,south-america,oofs-regions,2015,
GB,south-america,remittances-regions,2015,172608457.256375
GB,south-central-asia,fdi-regions-new,2015,915202444.61421
GB,south-central-asia,oda-regions,2015,1981660000
GB,south-central-asia,oofs-regions,2015,
GB,south-central-asia,remittances-regions,2015,6737990037.34892
GB,south-of-sahara,fdi-regions-new,2015,250572956.455307
GB,south-of-sahara,oda-regions,2015,3856990000
GB,south-of-sahara,oofs-regions,2015,
GB,south-of-sahara,remittances-regions,2015,5221253748.65363
GR,europe,fdi-regions-new,2015,927010537.99223
GR,europe,oda-regions,2015,6120000
GR,europe,oofs-regions,2015,
GR,europe,remittances-regions,2015,515311901.341328
GR,far-east-asia,fdi-regions-new,2015,110926.23405435
GR,far-east-asia,oda-regions,2015,80000
GR,far-east-asia,oofs-regions,2015,
GR,far-east-asia,remittances-regions,2015,53558775.8741666
GR,middle-east,fdi-regions-new,2015,0
GR,middle-east,oda-regions,2015,2120000
GR,middle-east,oofs-regions,2015,
GR,middle-east,remittances-regions,2015,32097283.9567917
GR,north-central-america,fdi-regions-new,2015,0
GR,north-central-america,oda-regions,2015,80000
GR,north-central-america,oofs-regions,2015,
GR,north-central-america,remittances-regions,2015,4304257.05739673
