country,sector,channel,year,in-oda-gross-sector-channel
AF,N,I,2006,621550
AF,N,J,2006,134393314
AG,A,A,2006,1251752
AG,A,J,2006,11895
AG,B,A,2006,95411
AG,B,J,2006,2037
AG,D,A,2006,553352
AG,E,A,2006,38981
AG,F,A,2006,23708
AG,H,A,2006,118358
AG,H,J,2006,2489754
AG,K,A,2006,76130
AG,K,H,2006,7340
AI,D,J,2006,220765
AI,E,A,2006,25425
AI,F,A,2006,4894315
AI,G,J,2006,52063
AL,A,A,2006,16502890
AL,A,D,2006,1960481
AL,A,E,2006,4050303
AL,A,F,2006,631629
AL,A,H,2006,1031733
AL,A,I,2006,1047711
AL,A,J,2006,4946731
AL,B,A,2006,8900715
AL,B,D,2006,2035156
AL,B,E,2006,635798
AL,B,H,2006,15364400
AL,B,I,2006,2247867
AL,B,J,2006,1737988
AL,C,A,2006,11740641
AL,C,D,2006,51919
AL,C,E,2006,18553
AL,C,G,2006,8653
AL,C,H,2006,1712630
AL,C,I,2006,5535741
AL,C,J,2006,12490762
AL,D,A,2006,50330284
AL,D,D,2006,5766108
AL,D,E,2006,2235858
AL,D,F,2006,583543
AL,D,H,2006,2714061
AL,D,I,2006,8814756
AL,D,J,2006,22360100
AL,E,A,2006,3283312
AL,E,D,2006,1331369
AL,E,E,2006,731462
AL,E,H,2006,2402994
AL,E,I,2006,129565
AL,E,J,2006,3855504
AL,F,A,2006,29212515
AL,F,D,2006,14421
AL,F,E,2006,142719
AL,F,I,2006,2132381
