country,channel,year,out-oda-gross-channel
BE,F,2011,12086033
BE,G,2011,192613707
BE,H,2011,259446435
BE,I,2011,212627300
CA,A,2011,29827316
CA,B,2011,1154061257
CA,C,2011,343961498
CA,E,2011,705044316
CA,F,2011,72476104
CA,G,2011,5672505
CA,H,2011,1644339138
CA,I,2011,226099822
CH,A,2011,8341838
CH,B,2011,911252704
CH,C,2011,99278953
CH,E,2011,466147750
CH,F,2011,98520125
CH,G,2011,53842366
CH,H,2011,442048659
CH,I,2011,195380674
CZ,A,2011,378459
CZ,B,2011,38236574
CZ,C,2011,353674
CZ,E,2011,14447217
CZ,F,2011,985938
CZ,G,2011,262457
CZ,H,2011,2206355
CZ,I,2011,13662929
CZ,J,2011,203828
DE,A,2011,6627777104
DE,D,2011,4448853
DE,E,2011,890963639
DE,F,2011,26084
DE,G,2011,158828763
DE,H,2011,432921500
DE,I,2011,1489783633
DK,A,2011,18163691
DK,B,2011,408459831
DK,C,2011,709872419
DK,E,2011,349627752
DK,F,2011,89348910
DK,G,2011,20191318
DK,H,2011,351310641
DK,I,2011,148750193
ES,A,2011,3565323
ES,B,2011,503360059
ES,C,2011,164206017
ES,E,2011,622677871
ES,F,2011,38647531
ES,G,2011,6329059
ES,H,2011,667456755
ES,I,2011,377132089
EU,A,2011,2753256521
EU,B,2011,46429102
EU,C,2011,2625335675
EU,D,2011,567589175
EU,E,2011,1127409794
EU,F,2011,56638886
EU,G,2011,3949702
EU,H,2011,2228498763
EU,I,2011,2300429848
FI,A,2011,136054346
FI,B,2011,52504840
FI,C,2011,66202745
FI,D,2011,1719366
FI,E,2011,171361822
FI,F,2011,943090
FI,G,2011,2923820
FI,H,2011,230189967
FI,I,2011,155510244
FR,A,2011,4183808191
FR,B,2011,3702909593
FR,C,2011,530560605
FR,D,2011,87703861
FR,E,2011,30557204
FR,F,2011,5193299
FR,G,2011,716478
FR,H,2011,161531432
FR,I,2011,91213055
FR,J,2011,21418521
GB,A,2011,439734646
GB,B,2011,438899940
GB,C,2011,1421238046
GB,D,2011,190850680
GB,E,2011,1325681426
GB,F,2011,178956871
GB,G,2011,60152265
GB,H,2011,2871526898
GB,I,2011,1889837401
GR,B,2011,68523343
GR,C,2011,3929108
GR,E,2011,63750
GR,H,2011,21353
GR,I,2011,68585043
IE,A,2011,6565802
IE,B,2011,49854459
IE,C,2011,157793540
IE,E,2011,188209035
IE,F,2011,26539776
IE,G,2011,8015752
IE,H,2011,107248410
IE,I,2011,19781423
IS,B,2011,2039990
IS,C,2011,8409353
IS,D,2011,17290
IS,E,2011,1080772
IS,F,2011,43230
IS,H,2011,6658729
IS,I,2011,879634
IT,A,2011,652652523
IT,B,2011,567333399
IT,C,2011,406597573
IT,D,2011,204578366
IT,E,2011,5069192
IT,G,2011,52302
IT,H,2011,99484055
IT,I,2011,32181813
JP,B,2011,892002654
JP,C,2011,12244914257
JP,E,2011,238189277
JP,F,2011,127038505
JP,G,2011,1281955
JP,H,2011,1676237893
JP,I,2011,416036778
KR,A,2011,49667
KR,B,2011,906691985
KR,C,2011,7062204
KR,E,2011,22602989
KR,G,2011,4271329
KR,H,2011,80350540
KR,I,2011,9722862
KW,C,2011,246592275
KW,H,2011,636601
