country,year,from_illicitfinance
SL,2005,85.46
SL,2006,36.76
SL,2007,19.01
SL,2008,36.53
SL,2009,7.99
SL,2010,4.79
SL,2011,7.40
SN,2001,0.00
SN,2002,0.00
SN,2003,0.00
SN,2004,0.00
SN,2005,3.92
SN,2006,0.00
SN,2007,0.00
SN,2008,0.00
SN,2009,0.00
SN,2010,0.00
SN,2011,
SO,2001,
SO,2002,
SO,2003,
SO,2004,
SO,2005,
SO,2006,
SO,2007,
SO,2008,
SO,2009,
SO,2010,
SO,2011,
SR,2001,0.00
SR,2002,0.00
SR,2003,0.00
SR,2004,0.00
SR,2005,0.00
SR,2006,0.00
SR,2007,0.00
SR,2008,115.12
SR,2009,20.46
SR,2010,168.08
SR,2011,81.31
ST,2001,0.00
ST,2002,0.00
ST,2003,0.00
ST,2004,0.00
ST,2005,0.00
ST,2006,8.26
ST,2007,14.52
ST,2008,38.62
ST,2009,6.83
ST,2010,11.92
ST,2011,6.92
SV,2001,638.97
SV,2002,850.72
SV,2003,192.74
SV,2004,0.00
SV,2005,560.68
SV,2006,579.36
SV,2007,0.00
SV,2008,0.00
SV,2009,0.00
SV,2010,0.00
SV,2011,241.04
SY,2001,
SY,2002,
SY,2003,
SY,2004,
SY,2005,
SY,2006,
SY,2007,
SY,2008,
SY,2009,
SY,2010,
SY,2011,
SZ,2001,0.00
SZ,2002,0.00
SZ,2003,159.15
SZ,2004,0.00
SZ,2005,53.40
SZ,2006,281.78
SZ,2007,830.25
SZ,2008,0.00
SZ,2009,64.75
SZ,2010,0.00
SZ,2011,
TD,2001,
TD,2002,
TD,2003,
TD,2004,
TD,2005,
TD,2006,
TD,2007,
TD,2008,
TD,2009,
TD,2010,
TD,2011,
TG,2001,11.35
TG,2002,0.00
TG,2003,17.72
TG,2004,0.00
TG,2005,0.00
TG,2006,0.00
TG,2007,0.00
TG,2008,0.00
TG,2009,0.00
TG,2010,0.00
TG,2011,
TH,2001,649.49
TH,2002,0.00
TH,2003,0.00
TH,2004,1212.67
TH,2005,0.00
TH,2006,0.00
TH,2007,0.00
TH,2008,0.00
TH,2009,0.00
TH,2010,4131.26
TH,2011,0.00
TJ,2001,
TJ,2002,168.40
TJ,2003,78.04
TJ,2004,70.14
TJ,2005,157.66
TJ,2006,481.47
TJ,2007,499.71
TJ,2008,21.24
TJ,2009,0.00
TJ,2010,0.00
TJ,2011,0.00
TL,2001,
