country,year,income-share-top-10pc
AZ,2011,
BI,2011,
BE,2011,
BJ,2011,
BF,2011,
BD,2011,
BG,2011,
BH,2011,
BS,2011,
BA,2011,
BY,2011,21.43
BZ,2011,
BM,2011,
BO,2011,
BR,2011,
BB,2011,
BN,2011,
BT,2011,
BW,2011,
CF,2011,
CA,2011,
CH,2011,
CL,2011,
CN,2011,
CI,2011,
CM,2011,
CG,2011,
CO,2011,
KM,2011,
CV,2011,
CR,2011,
CU,2011,
CW,2011,
KY,2011,
CY,2011,
CZ,2011,
DE,2011,
DJ,2011,
DM,2011,
DK,2011,
DO,2011,
DZ,2011,
EC,2011,
EG,2011,
ER,2011,
ES,2011,
EE,2011,
ET,2011,27.51
FI,2011,
FJ,2011,
FR,2011,
FO,2011,
FM,2011,
GA,2011,
GB,2011,
GE,2011,
GH,2011,
GN,2011,
GM,2011,
GW,2011,
GQ,2011,
GR,2011,
GD,2011,
GL,2011,
GT,2011,
GU,2011,
GY,2011,
HK,2011,
HN,2011,
HR,2011,
HT,2011,
HU,2011,
ID,2011,30.62662806
IN,2011,
IE,2011,
IR,2011,
IQ,2011,
IS,2011,
IL,2011,
IT,2011,
JM,2011,
JO,2011,
JP,2011,
KZ,2011,
KE,2011,
KG,2011,26.36
KH,2011,
KI,2011,
KN,2011,
KR,2011,
XK,2011,
KW,2011,
LA,2011,
LB,2011,
LR,2011,
LY,2011,
LC,2011,
LI,2011,
LK,2011,
LS,2011,
LT,2011,
LU,2011,
LV,2011,
MO,2011,
MF,2011,
MA,2011,
MC,2011,
MD,2011,
MG,2011,
MV,2011,
MX,2011,
MH,2011,
MK,2011,
ML,2011,
MT,2011,
MM,2011,
ME,2011,
MN,2011,
MP,2011,
MZ,2011,
MR,2011,
MU,2011,
MW,2011,
MY,2011,
NA,2011,
NC,2011,
NE,2011,
NG,2011,
NI,2011,
NL,2011,
NO,2011,
NP,2011,
NZ,2011,
OM,2011,
PK,2011,
PA,2011,
PE,2011,
PH,2011,
PW,2011,
PG,2011,
PL,2011,25.88
PR,2011,
KP,2011,
PT,2011,
PY,2011,
PF,2011,
QA,2011,
RO,2011,21.44
RU,2011,
RW,2011,43.22
SA,2011,
SD,2011,
SN,2011,31.1
SG,2011,
SB,2011,
SL,2011,28.74
SV,2011,
SM,2011,
SO,2011,
RS,2011,
SS,2011,
ST,2011,
SR,2011,
SK,2011,
SI,2011,
SE,2011,
SZ,2011,
SX,2011,
SC,2011,
SY,2011,
TC,2011,
TD,2011,
TG,2011,29.41
TH,2011,
TJ,2011,
TM,2011,
TL,2011,
TO,2011,
TT,2011,
TN,2011,
TR,2011,
TV,2011,
TZ,2011,
UG,2011,
UA,2011,
UY,2011,
US,2011,
UZ,2011,
VC,2011,
VE,2011,
VI,2011,
VN,2011,
VU,2011,
PS,2011,
WS,2011,
YE,2011,
ZA,2011,
CD,2011,
ZM,2011,
ZW,2011,
AW,2012,
AD,2012,
AF,2012,
AO,2012,
AL,2012,
AE,2012,
AR,2012,
AM,2012,
AS,2012,
AG,2012,
AU,2012,
AT,2012,
AZ,2012,
BI,2012,
BE,2012,
BJ,2012,
BF,2012,
BD,2012,
BG,2012,
BH,2012,
BS,2012,
BA,2012,
BY,2012,
BZ,2012,
BM,2012,
BO,2012,
BR,2012,
BB,2012,
BN,2012,
BT,2012,30.75
BW,2012,
CF,2012,
CA,2012,
CH,2012,
CL,2012,
CN,2012,
CI,2012,
CM,2012,
CG,2012,
CO,2012,
KM,2012,
CV,2012,
CR,2012,
CU,2012,
CW,2012,
KY,2012,
CY,2012,
CZ,2012,
DE,2012,
DJ,2012,
DM,2012,
DK,2012,
DO,2012,
DZ,2012,
EC,2012,
EG,2012,
